index;original_date_corrected
MINT01013;25 June 1722
MINT01015;18 Oct 1722
MINT01016;13 Sep 1723
MINT01017;3 Aug 1723
MINT01018;12 Sep 1723
MINT01019;13 Apr 1724
MINT01020;18 May 1724
MINT01021;5 Oct 1724
MINT01022;13 Apr 1724
MINT01024;29 Jun 1710
MINT01025;14 May 1710
MINT01026;4 Jul 1710
MINT01027;25 Jul 1710
MINT01028;12 Aug 1718
MINT01029;28 Apr 1710
MINT01030;14 Jun 1711
MINT01033;26 Feb 1711
MINT01031;3 Oct 1711
MINT01034;18 Mar 1711
MINT01035;16 Jun 1712
MINT01032;6 Oct 1711
MINT01036;21 Aug 1712
MINT01037;5 Dec 1712
MINT01038;3 Feb 1712
MINT01039;4 Feb 1712
MINT01040;12 Feb 1712
MINT01041;26 Feb 1712
MINT01042;2 Apr 1713
MINT01043;2 May 1713
MINT01045;27 Jan 1713
MINT01044;15 Aug 1713
MINT01046;12 Mar 1713
MINT01047;19 Mar 1713
MINT01049;25 Mar 1714
MINT01050;16 Apr 1714
MINT01051;29 Apr 1714
MINT01052;28 Oct 1714
MINT01053;13 Nov 1714
MINT01054;6 Jan 1714
MINT01055;9 Feb 1714
MINT01056;9 May 1715
MINT01058;20 Aug 1716
MINT01060;3 Nov 1716
MINT01059;12 Nov 1716
MINT01061;11 Jan 1716
MINT01062;17 Jun 1717
MINT01063;2 Aug 1717
MINT01064;12 Aug 1717
MINT01066;13 Jan 1717
MINT01065;11 Jan 1717
MINT01067;17 Jan 1717
MINT01068;28 Jan 1717
MINT01069;19 Mar 1717
MINT01070;3 Jul 1718
MINT01071;7 Oct 1718
MINT01072;20 Dec 1718
MINT01073;4 Jun 1719
MINT01057;16 Feb 1715
MINT01075;18 Sep 1713
MINT01074;5 Apr 1720
MINT01077;6 Apr 1725
MINT01076;23 Sep 1725
MINT01078;16 Aug 1726
MINT01079;27 Mar 1712
MINT01080;8 May 1713
MINT01081;28 Feb 1717
MINT01082;8 Apr 1718
MINT01085;24 June 1713
MINT01086;24 June 1713
MINT01083;30 Jul 1711
MINT01084;21 Mar 1711
MINT01087;24 June 1713
MINT01088;24 June 1713
MINT01090;22 Jul 1718
NATP00006;19 Feb 1671
NATP00054;5 December 1674
NATP00052;25 March 1672
NATP00009;30 March 1672
NATP00014;8 July 1672
NATP00018;3 April 1673
NATP00013;13 April 1672
NATP00022;13 Nov 1675
NATP00008;26 March 1672
NATP00017;21 July 1673
NATP00029;15  July 1672
NATP00015;May 1672
NATP00011;20 May 1672
NATP00012;April 1672
NATP00024;29 Feb 1676
NATP00028;18 November 1672
